business_status,formatted_address,zip_code,borough,standardized_name,user_ratings_total,place_id,price_level,rating,lat,lon
OPERATIONAL,"200 E 32nd St, New York, NY 10016, United States",10016,Manhattan,Trader Joe's,3806,ChIJH_ZOmghZwokRa20TcxP_Bfs,2.0,4.5,40.7439882,-73.9790839
OPERATIONAL,"675 6th Ave, New York, NY 10010, United States",10010,Manhattan,Trader Joe's,6032,ChIJI5xCX6NZwokR3jdSQwsw2DI,2.0,4.6,40.7420901,-73.9941211
OPERATIONAL,"2073 Broadway, New York, NY 10023, United States",10023,Manhattan,Trader Joe's,5353,ChIJ5U8xEopYwokRjV6TuL4I9Ac,2.0,4.5,40.7785639,-73.9823142
OPERATIONAL,"142 E 14th St, New York, NY 10003, United States",10003,Manhattan,Trader Joe's,4545,ChIJa5oiKJ9ZwokR4EX7HlQSstY,2.0,4.4,40.7333532,-73.9878949
OPERATIONAL,"405 E 59th St, New York, NY 10022, United States",10022,Manhattan,Trader Joe's,749,ChIJVaVhLKxZwokRS0yT-WWNnuA,,4.7,40.7597032,-73.9615347
OPERATIONAL,"233 Spring St, New York, NY 10013, United States",10013,Manhattan,Trader Joe's,1648,ChIJZd0F3oxZwokRiaEouMZKQ-0,2.0,4.7,40.7257485,-74.0048949
OPERATIONAL,"400 Grand St. (Cellar, New York, NY 10002, United States",10002,Manhattan,Trader Joe's,1972,ChIJ9WABQ8hZwokR59mUJakO9IA,2.0,4.6,40.7164903,-73.9867718
OPERATIONAL,"436 E 14th St, New York, NY 10009, United States",10009,Manhattan,Trader Joe's,941,ChIJIVZfRRpZwokR1GJQ1hL-mQQ,,4.6,40.7305189,-73.9809922
OPERATIONAL,"670 Columbus Ave, New York, NY 10025, United States",10025,Manhattan,Trader Joe's,2444,ChIJ1_bNGJ1YwokR9OFA1FuxTJQ,2.0,4.6,40.7907104,-73.9695098
OPERATIONAL,"22-43 Jackson Ave, Queens, NY 11101, United States",11101,Queens,Trader Joe's,930,ChIJieKUCG5ZwokRcFYGfu1T0Sc,,4.6,40.7458383,-73.9461982
OPERATIONAL,"445 Gold St, Brooklyn, NY 11201, United States",11201,Brooklyn,Trader Joe's,3878,ChIJP2ZvVUtawokR6e567fAOx4M,2.0,4.6,40.6912253,-73.9827655
OPERATIONAL,"130 Court St, Brooklyn, NY 11201, United States",11201,Brooklyn,Trader Joe's,5321,ChIJhS5Yr09awokR44Umk8YfdIY,2.0,4.5,40.6895837,-73.9928699
OPERATIONAL,"200 Kent Ave, Brooklyn, NY 11249, United States",11249,Brooklyn,Trader Joe's,484,ChIJyWDn6ndZwokR234SqsAnT_s,,4.7,40.7180932,-73.9643128
OPERATIONAL,"9030 Metropolitan Ave, Queens, NY 11374, United States",11374,Queens,Trader Joe's,5290,ChIJ4YO7bBFewokRRp5wtOWm_EU,2.0,4.4,40.7108566,-73.8583482
OPERATIONAL,"450 W 33rd St, New York, NY 10001, United States",10001,Manhattan,Whole Foods Market,591,ChIJI2yhZBxZwokRaLg_A-8sqDA,,4.5,40.7528918,-73.9997371
OPERATIONAL,"10 Columbus Cir Ste Sc101, New York, NY 10019, United States",10019,Manhattan,Whole Foods Market,3363,ChIJvaMqIvZYwokR9tb1ok27g8U,3.0,4.3,40.7685526,-73.9831866
OPERATIONAL,"1095 6th Ave, New York, NY 10036, United States",10036,Manhattan,Whole Foods Market,6065,ChIJC2AqwapZwokR2O17hSVPjrE,3.0,4.4,40.7545529,-73.984657
OPERATIONAL,"226 E 57th St, New York, NY 10022, United States",10022,Manhattan,Whole Foods Market,2249,ChIJvYILMORYwokRywGbSMh9b_c,3.0,4.2,40.7593039,-73.9663868
OPERATIONAL,"250 7th Ave, New York, NY 10001, United States",10001,Manhattan,Whole Foods Market,2591,ChIJu9jzyANbwokRIb60wMQSvqQ,2.0,4.2,40.7449592,-73.9952913
OPERATIONAL,"4 Union Square South, NY 10003, United States",10003,Manhattan,Whole Foods Market,4293,ChIJlZFg95hZwokRzTo2UWdo0Lg,3.0,4.2,40.7348264,-73.9912049
OPERATIONAL,"63 Madison Ave, New York, NY 10016, United States",10016,Manhattan,Whole Foods Market,275,ChIJkTgowqdZwokR9eCCOtg2iB0,,4.5,40.7434963,-73.9855379
OPERATIONAL,"95 E Houston St, New York, NY 10002, United States",10002,Manhattan,Whole Foods Market,2691,ChIJQ5yUr4VZwokRbMN-yaOarmc,1.0,4.2,40.7238246,-73.9923102
OPERATIONAL,"270 Greenwich St, New York, NY 10007, United States",10007,Manhattan,Whole Foods Market,3368,ChIJl4BZ5opZwokRUR0n7MrTIEA,3.0,4.4,40.7155341,-74.0120518
OPERATIONAL,"1551 3rd Ave, New York, NY 10128, United States",10128,Manhattan,Whole Foods Market,2227,ChIJ155rWbtYwokRLX7PL1o55Vs,3.0,4.0,40.7796707,-73.9529499
OPERATIONAL,"100 W 125th St, New York, NY 10027, United States",10027,Manhattan,Whole Foods Market,3501,ChIJiVmnFQ32wokReCy0KguVOpw,3.0,4.2,40.8076461,-73.9461771
OPERATIONAL,"808 Columbus Ave, New York, NY 10025, United States",10025,Manhattan,Whole Foods Market,2332,ChIJ-6ZxFif2wokRaRaETTJc_9Q,2.0,4.2,40.7939667,-73.9671163
OPERATIONAL,"66 Broadway, New York, NY 10005, United States",10005,Manhattan,Whole Foods Market,68,ChIJ5-eXOKFbwokRYuHJ_OBoMbw,,4.6,40.7071266,-74.0119587
OPERATIONAL,"214 3rd St., Brooklyn, NY 11215, United States",11215,Brooklyn,Whole Foods Market,3571,ChIJCyuFM_9awokR-UCjM7JdJe0,3.0,4.4,40.6748928,-73.9887879
OPERATIONAL,"238 Bedford Ave, Brooklyn, NY 11249, United States",11249,Brooklyn,Whole Foods Market,2383,ChIJRyyQoGBZwokR2ISrdKgCsdo,1.0,4.3,40.7161409,-73.9597096
OPERATIONAL,"292 Ashland Pl, Brooklyn, NY 11217, United States",11217,Brooklyn,Whole Foods Market,1813,ChIJNewOPrJbwokRkAD8HyPvtdc,3.0,4.1,40.6862137,-73.9787227
OPERATIONAL,"21 Flushing Ave, Brooklyn, NY 11205, United States",11205,Brooklyn,Wegmans,3047,ChIJtQBwWPVbwokR9VDpbdSqQZQ,,4.5,40.698879,-73.979346
OPERATIONAL,"140 W 57th St, New York, NY 10019, United States",10019,Manhattan,Morton Williams,1017,ChIJlTWmZvdYwokROyEKYwbPEwo,,4.3,40.7647437,-73.9789166
OPERATIONAL,"278 Park Ave S, New York, NY 10010, United States",10010,Manhattan,Morton Williams,244,ChIJuxB7FqFZwokRZM2omDcGNb0,,3.6,40.7394127,-73.9872538
OPERATIONAL,"1331 1st Ave., New York, NY 10021, United States",10021,Manhattan,Morton Williams,632,ChIJg4OMoMFYwokRTxs3OH9NQGg,,4.0,40.7673667,-73.9565889
OPERATIONAL,"1031 1st Ave., New York, NY 10022, United States",10022,Manhattan,Morton Williams,458,ChIJ0dtMz-ZYwokRo0RsQAlsIyw,,4.1,40.757898,-73.9635076
OPERATIONAL,"908 2nd Ave, New York, NY 10017, United States",10017,Manhattan,Morton Williams,968,ChIJwdELkOJYwokRgSJOA1wL2Mo,,4.1,40.7538,-73.9690999
OPERATIONAL,"1565 1st Ave., New York, NY 10028, United States",10028,Manhattan,Morton Williams,313,ChIJYXC-FblYwokR9xWuqc58d7g,,3.7,40.7738546,-73.9518157
OPERATIONAL,"917 9th Ave, New York, NY 10019, United States",10019,Manhattan,Morton Williams,485,ChIJabm8wlhYwokRGwnWxb9HbtY,,3.9,40.7689628,-73.9852025
OPERATIONAL,"1211 Madison Ave, New York, NY 10128, United States",10128,Manhattan,Morton Williams,352,ChIJSxyuyaJYwokRnrldro_G1Ps,,4.2,40.7816574,-73.9580391
OPERATIONAL,"1251 3rd Ave, New York, NY 10021, United States",10021,Manhattan,Morton Williams,176,ChIJ54xCElhZwokRUFGlkOugKXw,,4.2,40.769822,-73.9603509
OPERATIONAL,"130 Bleecker St, New York, NY 10012, United States",10012,Manhattan,Morton Williams,561,ChIJbcsU2ZFZwokRL9esxzwOzEE,,4.0,40.7278117,-73.9987584
OPERATIONAL,"1066 3rd Ave, New York, NY 10065, United States",10065,Manhattan,Morton Williams,660,ChIJQyEH0ehYwokRdBbXzsOGYmQ,,4.1,40.7644148,-73.9648692
OPERATIONAL,"2941 Broadway, New York, NY 10027, United States",10027,Manhattan,Morton Williams,297,ChIJx5-q0D72wokR-98xbWUpdMY,,3.5,40.8076684,-73.9645733
OPERATIONAL,"313 E 23rd St, New York, NY 10010, United States",10010,Manhattan,Morton Williams,402,ChIJucv6UgpZwokRc_1ic0idaSw,,3.8,40.7378369,-73.9801146
OPERATIONAL,"260 Park Ave S, E 21st St, New York, NY 10010, United States",10010,Manhattan,Morton Williams,0,ChIJ5envPFRZwokRTpMKXRTPi9M,,0.0,40.7388862,-73.9877132
OPERATIONAL,"15 West End Ave, New York, NY 10023, United States",10023,Manhattan,Morton Williams,217,ChIJW0IsvnFZwokRvc_5nuewZBE,,3.9,40.7721229,-73.9904864
OPERATIONAL,"2017 Broadway, New York, NY 10023, United States",10023,Manhattan,Morton Williams,0,ChIJnb2q3l5ZwokRVLalrjVe1E4,,0.0,40.7738698,-73.9819437
OPERATIONAL,"2131 Broadway, New York, NY 10023, United States",10023,Manhattan,Fairway Market,2087,ChIJQ75KlYlYwokRs7U2ntd8bOU,2.0,4.2,40.7807653,-73.9816666
OPERATIONAL,"550 2nd Ave, New York, NY 10016, United States",10016,Manhattan,Fairway Market,2148,ChIJVY3s0ghZwokR6e1D8qjJL1k,2.0,4.3,40.7424641,-73.9770711
OPERATIONAL,"240 East 86th St, New York, NY 10028, United States",10028,Manhattan,Fairway Market,2201,ChIJQ75KlYlYwokRN76w58GDi00,2.0,4.2,40.7780229,-73.9527073
OPERATIONAL,"766 6th Ave, New York, NY 10010, United States",10010,Manhattan,Fairway Market,1917,ChIJi6wqqaVZwokRGr5R0dVtAbg,,4.2,40.7445028,-73.991425
OPERATIONAL,"2385 Richmond Ave, Staten Island, NY 10314, United States",10314,Staten Island,Trader Joe's,3082,,2.0,4.6,40.589451,-74.165352
